"date","y","x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11","x12","x13","x14","x15","x16","x17","x18","x19","x20","x21","x22","x24","x25","x26","x27","x28","x29","x30"
"2020/7/31",3677,40.27,43.3,572.5,67.79914821,-28.38,-137.81,-970.1410191,0.577439246,0.932767785,248.6725664,-87.77,167.23,-317.77,-162.77,95,107.23,91,74.9,82.2,43.3,77,66,6.6,16.8,28.6,16,441,148.1,17.3
"2020/8/7",3720,41.22,44.4,562.5,147.7604614,-29.04,-33.6,-681.0934021,0.530286543,0.929582175,315.0442478,-87.025,162.975,-262.025,-7.025,65,212.975,90.1,74.2,81.4,43.3,79,70,2.8,17.3,27.5,15.3,445,147.3,17.1
"2020/8/14",3710,42.01,44.8,557.5,48.40491229,-30.64,-41.6,-619.246353,0.559303591,0.929582175,265.0442478,-40.925,209.075,-110.925,-20.925,50,254.075,90.1,74.3,81.6,43.3,81,74,4.3,18.8,29.4,17.6,447,148.7,17.4
"2020/8/21",3710,42.34,44.35,562.5,51.80144198,-21.68,-54.1,-492.842984,0.568008705,0.904590095,220.7964602,-56.725,223.275,-206.725,-66.725,195,213.275,90.9,75.1,82.5,43.3,75,72,4.4,20.3,29.8,18.9,452,145.3,17.5
"2020/8/28",3768,42.97,45.05,555.5,119.1597908,-13.1,26.56,-441.071914,0.606456293,0.77505368,176.5486726,-113.33,166.67,-268.33,-213.33,210,191.67,91.2,75.1,82.6,43.3,79,75,5.6,19,30.6,16.7,463,145.4,17.3
"2020/9/4",3893,39.77,42.66,558.5,12.28628178,-21.3,164.1,-564.3912202,0.62879942,0.80303777,170.7964602,-88.105,191.895,-313.105,-318.105,205,281.895,92.5,75.1,82.7,43.3,79,75,3.4,19.3,30,16.8,483,140.9,17.4
"2020/9/11",3835,37.33,39.83,577.5,-12.91055456,-25.36,133.15,-774.5267385,0.639680812,0.80303777,50,-84.55,170.45,-324.55,-329.55,260,265.45,92.7,75.9,83.4,43.3,80,76,5.4,21.1,29.9,19,475,148.7,17.2
"2020/9/18",3828,41.11,43.15,590.5,-32.15346886,-35.92,119.06,-909.5109221,0.646572361,0.82503784,5.752212389,-153.58,76.42,-348.58,-398.58,180,236.42,92,75.9,83.5,43.3,80,76,6.3,20.6,28.7,19.4,471,140,17.1
"2020/9/25",3665,40.25,41.92,599.5,-78.02737193,-29.04,5.05,-1183.428163,0.674863983,0.844749903,-29.6460177,-49.2,120.8,-224.2,-244.2,185,320.8,91.8,75.6,83.1,43.3,82,79,7.6,19.1,26.9,18.3,458,135.2,17.3
"2020/9/28",3663,40.6,42.43,604.5,-61.89787082,-23.48,-27.39,-1180.64506,0.680667392,0.844749903,-31.19469027,-18.68,81.32,-98.68,-168.68,145,336.32,91.8,75.6,83.1,43.3,93,91,7.6,19.1,26.9,18.3,458,137.6,17.3
"2020/10/9",3700,40.6,42.85,612.5,-62.99321706,-27.44,-70.3,-1151.99638,0.66730326,0.829261854,13.05309735,1.825,1.825,66.825,-28.175,105,406.825,90.6,76,82.2,49.3,93,91,4.5,16.3,21,12.5,463,128.3,17.5
"2020/10/16",3842,40.88,42.93,624,23.81790284,-26.3,11.54,-772.5424096,0.627132038,0.809549791,138.4955752,-16.82,-36.82,58.18,-86.82,380,703.18,90.3,78.7,83.4,58.5,94,93,-1,12,11.6,9,481,130.2,17.3
"2020/10/23",3823,39.85,41.77,608,-17.85714578,-18.66,23.21,-637.8140417,0.627790583,0.82503784,3.097345133,17.945,62.945,132.945,-22.055,400,757.945,90.9,79.7,84,61.3,94,93,-4.2,13.1,12.4,9.8,481,127.6,16.9
"2020/10/30",3717,35.79,37.46,611,-59.63227033,-16.22,-112.01,-615.2323362,0.663351992,0.847213911,-85.39823009,120.18,90.18,145.18,-244.82,515,735.18,90.9,79.7,84,61.3,94,92,-1.8,14.2,14.2,11.1,470,122.6,17.1
"2020/11/6",3665,37.14,39.45,619.5,-157.478047,-20.56,-223.45,-678.6506318,0.693847625,0.817293815,-173.8938053,161.575,131.575,226.575,-58.425,550,766.575,90.7,79.4,83.6,62.2,94,91,-0.2,15.8,15,13.1,470,117,17
"2020/11/13",3610,40.13,42.78,617.5,-92.6519551,-13.48,-204.6,-1057.229725,0.668345553,0.880654018,-156.1946903,93.125,193.125,138.125,-21.875,445,728.125,90.4,79.4,83.6,62.2,94,91,-2.2,13.6,14.7,11.5,466,116.4,16.8
"2020/11/20",3785,42.15,44.96,619.5,-70.71267624,-23,11.45,-1416.642651,0.644756136,0.891214052,-178.3185841,-88.825,186.175,-168.825,-373.825,565,481.175,92.1,79.4,83.6,62.2,94,88,-2.5,15.5,15.1,13.5,490,115.1,16.4
"2020/11/27",3808,45.53,48.18,628.5,-83.74783912,-21.58,-36.14,-1391.028778,0.609690787,0.891214052,-94.24778761,-44.28,285.72,-134.28,-324.28,470,490.72,91.9,79.4,83.6,62.2,93,85,-3.2,12.3,13.4,11,492,109.9,16.04
"2020/12/4",3800,46.26,49.25,641.5,-139.2154412,-28.2978,241.7,-1426.419156,0.647151401,0.865095568,-67.69911504,-62.9,312.1,-247.9,-362.9,550,382.1,91.4,79.1,83.1,62.2,93,83,-5,11.7,15.6,9,494,107.4,16.1
"2020/12/11",3850,46.57,49.97,692.5,-57.58732698,-22.7,153.2,-1284.411191,0.647151401,0.885159633,73.89380531,-13.7,326.3,46.3,-148.7,525,396.3,91,79.1,83.1,62.2,94,86,-3.1,11.2,13.2,8,497,101.4,16.4
"2020/12/18",4050,49.1,52.26,727.5,-64.21671912,-28.82,235.2,-1167.08064,0.655964747,0.885159633,165.4867257,-48.95,231.05,186.05,-143.95,510,426.05,90.7,79.1,83.3,61.4,92,86,-3.4,11.7,12.5,7.7,522,97.6,16.2
"2020/12/25",4130,48.23,51.29,747.5,-53.34154988,-29.2,263.1,-1170.565867,0.613157066,0.85629554,103.539823,-124.375,175.625,160.625,-159.375,560,340.625,89.6,76.9,80.8,60.5,86,85,-1,13.2,11.7,10.3,535,83.5,16.5
"2021/1/8",4420,52.24,55.99,857.5,-150.7426596,-32.38,390.5,-1076.580376,0.652926369,0.903815692,289.8230088,-42.45,177.55,252.55,-247.45,555,557.55,91.7,80.8,85.3,63.3,90,79,-6,10.2,9.7,6.6,575,81.7,17.5
"2021/1/15",4552,52.36,55.1,972.5,-131.4249425,-14.74,298.96,-727.5306241,0.624606671,0.88445563,284.0707965,-32.395,187.605,257.605,-162.395,600,537.605,88.7,77.5,81.7,60.8,86,65,-4.4,10.7,10,7,588,73.7,17.5
"2021/1/21",4573,53.13,56.1,950,-207.4125677,-15.4,319.74,-448.8939445,0.621460038,0.909095709,213.2743363,-55.305,244.695,89.695,-185.305,760,594.695,88,74.2,80.4,50.3,68,46,-3,13.3,13,9.2,580,78.1,17.5
"2021/1/29",4778,52.2,55.88,817.5,-194.6514499,-19.64,688.44,-15.30814898,0.668659534,0.877767609,195.5752212,-199.555,120.445,-59.555,-464.555,655,390.445,82.5,65.9,74.2,35.5,26,24,-3.5,11.4,16.1,5.9,625,67.6,18.3
"2021/2/5",4783,56.85,59.34,707.5,-242.6802432,-10.1,993.64,135.0682483,0.734109503,0.833767468,461.0619469,-8.105,336.895,216.895,-13.105,495,506.895,82.2,62.9,73,23.5,15,8,-3.4,12.4,17.8,7.3,627,66.9,19.4
"2021/2/19",5355,59.24,62.91,647.5,-310.6115525,-19.8,1678,578.2214473,0.727816237,0.735911155,310.619469,62.75,487.75,407.75,162.75,455,997.75,84.5,74.5,74.5,27.7,24,18,-1.5,18.4,23.4,7.9,695,68.3,18.5
"2021/2/26",6350,61.5,66.13,577.5,-184.8851433,-12.12,2890.2,767.2122075,0.736626809,0.774103277,523.0088496,-4.225,565.775,510.775,365.775,385,910.775,88.6,71.7,79.6,40.2,71,56,-5.2,14.9,20.8,4.9,815,67,17.1
"2021/3/5",6180,66.09,69.36,607.5,-294.5160585,-2.88,2683.6,113.4305622,0.77753304,0.808071386,481.4159292,46.625,326.625,731.625,566.625,400,576.625,91.3,75.7,82,50.4,85,81,-3.3,17,20.8,7.5,783,68.6,16.2
"2021/3/12",5470,65.61,69.22,637.5,-272.5704189,0.04,1910.2,-535.5499931,0.755506608,0.824791439,701.7699115,224.4,794.4,1064.4,969.4,505,714.4,93.9,79.6,85,57.9,91,88,-1.9,18.2,21.4,9.4,698,64.2,15
